created_at,updated_at,deleted_at,status,version,city,state,neighborhood,last_date_purchase,average_ticket,items_quantity,all_revenue,all_orders,recency,marketing_source
07/28/16 12:34 AM,01/13/21 11:23 AM,,active,5.16.4, Ferreira de Correia,MS,Ventosa,01/13/21 11:23 AM,195.534254948671,9,1173.20552969202,6,36,direct
03/11/20 01:14 AM,01/16/21 11:23 AM,,active,5.35.6, Silva do Sul,AC,Candelaria,01/16/21 11:23 AM,224.726317809709,10,2471.98949590679,11,33,direct
01/20/20 06:11 PM,01/25/21 11:23 AM,,paused,4.38.8, Farias,SP,Buritis,01/25/21 11:23 AM,213.950564911043,7,0.0,0,24,paid_search
04/06/19 05:40 AM,01/11/21 11:23 AM,,active,2.20.9, Lima,MA,Venda Nova,01/11/21 11:23 AM,245.649380354298,6,2456.49380354299,10,38,direct
10/31/18 05:36 AM,01/18/21 11:23 AM,,active,4.59.7, Farias,PE,Vila Nova Paraíso,01/18/21 11:23 AM,201.918434033003,7,605.75530209901,3,31,direct
03/10/17 06:26 AM,01/13/21 11:23 AM,,active,4.37.8, da Costa,RO,Santa Rita,01/13/21 11:23 AM,217.081295858897,6,2387.89425444787,11,36,direct
12/23/19 10:11 AM,01/15/21 11:23 AM,,active,5.9.9, Oliveira,MS,Vila Paris,01/15/21 11:23 AM,239.929212754057,8,239.929212754057,1,34,direct
11/25/17 06:41 AM,01/17/21 11:23 AM,,active,2.19.9, Duarte,RN,Glória,01/17/21 11:23 AM,233.638233077992,4,467.276466155983,2,32,crm
10/16/20 06:29 AM,01/09/21 11:23 AM,,paused,4.14.12, da Mota do Norte,PA,Cachoeirinha,01/09/21 11:23 AM,181.339657943033,17,725.358631772133,4,40,paid_search
08/25/16 03:51 AM,01/15/21 11:23 AM,,active,4.33.7, da Mota de Carvalho,AP,Vila Real 2ª Seção,01/15/21 11:23 AM,234.832856331875,7,1174.16428165937,5,34,direct
11/19/17 01:09 PM,01/17/21 11:23 AM,,paused,3.50.10, da Cruz de Goiás,MS,Conjunto Bonsucesso,01/17/21 11:23 AM,255.730012499711,9,511.460024999423,2,32,organic_search
12/12/19 07:26 AM,01/08/21 11:23 AM,,active,4.27.8, Cardoso das Flores,MA,Universitário,01/08/21 11:23 AM,191.050882091558,16,382.101764183115,2,41,crm
05/03/18 06:29 AM,01/11/21 11:23 AM,,active,5.20.6, da Mota,PA,Grota,01/11/21 11:23 AM,230.905851598029,11,2078.15266438227,9,38,organic_search
01/19/21 01:44 PM,01/13/21 11:23 AM,,active,5.32.2, Peixoto,MS,Marajó,01/13/21 11:23 AM,252.949592191974,7,0.0,0,36,telegram_whatsapp
06/16/16 09:11 AM,01/12/21 11:23 AM,,paused,3.27.3, da Rocha da Prata,PB,Estoril,01/12/21 11:23 AM,230.801732477258,8,1846.41385981807,8,37,direct
04/25/17 05:18 AM,01/20/21 11:23 AM,,active,4.6.4, Azevedo da Prata,AC,Inconfidência,01/20/21 11:23 AM,238.58609038093,7,2147.27481342837,9,29,organic_search
07/20/20 08:12 PM,01/12/21 11:23 AM,,paused,4.9.6, Novaes,RO,Vila São João Batista,01/12/21 11:23 AM,236.023144770476,11,1416.13886862286,6,37,organic_search
06/09/20 10:12 PM,01/21/21 11:23 AM,,active,6.39.5, Santos,PB,Boa União 1ª Seção,01/21/21 11:23 AM,224.486809577203,12,1795.89447661762,8,28,crm
10/17/20 12:39 AM,01/11/21 11:23 AM,,active,2.13.7, Monteiro de Monteiro,MS,Santa Rita De Cássia,01/11/21 11:23 AM,255.043081317145,11,1020.17232526858,4,38,direct
07/26/16 06:20 AM,01/18/21 11:23 AM,,active,3.26.8, Novaes de Minas,ES,Vila Independencia 3ª Seção,01/18/21 11:23 AM,195.152974144341,8,1170.91784486604,6,31,direct
03/09/20 09:10 PM,01/17/21 11:23 AM,,active,3.4.7, Caldeira do Oeste,SE,São Jorge 3ª Seção,01/17/21 11:23 AM,222.203862757162,11,2444.24249032878,11,32,crm
03/30/16 04:12 AM,01/15/21 11:23 AM,,active,3.35.7, Carvalho de da Paz,AP,Boa Vista,01/15/21 11:23 AM,246.779614028754,13,2467.79614028754,10,34,direct
02/06/17 09:03 AM,08/24/20 09:44 AM,08/24/20 09:44 AM,canceled,4.28.11, Costa Paulista,RS,Tupi A,07/23/17 11:11 AM,211.300131611378,6,1267.80078966827,6,1306,organic_search
12/28/19 06:16 PM,01/10/21 11:23 AM,,active,1.18.8, Aragão dos Dourados,PE,Vila União,01/10/21 11:23 AM,227.747911057794,9,227.747911057794,1,39,paid_search
07/10/18 04:04 AM,01/20/21 11:23 AM,,active,4.30.4, Pinto de Ramos,MT,Barro Preto,01/20/21 11:23 AM,234.479965480208,11,1641.35975836146,7,29,organic_search
08/23/17 01:29 AM,01/14/21 11:23 AM,,active,3.17.9, das Neves,ES,Vila Suzana Primeira Seção,01/14/21 11:23 AM,232.030431895634,8,1160.15215947817,5,35,telegram_whatsapp
10/16/18 05:46 PM,01/07/21 11:23 AM,,active,3.21.12, Melo,PE,Cardoso,01/07/21 11:23 AM,186.320481738475,11,745.2819269539,4,42,organic_search
01/02/17 02:44 PM,01/14/21 11:23 AM,,paused,3.25.7, Castro Alegre,DF,Cardoso,01/14/21 11:23 AM,175.468755201359,12,175.468755201359,1,35,direct
01/28/20 05:33 AM,01/10/21 11:23 AM,,active,5.27.3, da Paz da Serra,BA,Ipiranga,01/10/21 11:23 AM,203.973933122367,9,0.0,0,39,none
04/04/17 04:31 AM,01/07/21 11:23 AM,,active,4.16.3, Pereira de Goiás,RS,Vila Puc,01/07/21 11:23 AM,250.769618282105,7,2507.69618282105,10,42,organic_search
12/16/18 05:43 AM,01/20/21 11:23 AM,,active,4.32.7, Moreira,AC,Vila Nova Cachoeirinha 3ª Seção,01/20/21 11:23 AM,228.247319888668,7,456.494639777335,2,29,direct
03/26/20 03:25 AM,01/15/21 11:23 AM,,active,3.10.8, Ferreira do Campo,RO,Corumbiara,01/15/21 11:23 AM,225.183494831268,11,2251.83494831268,10,34,organic_search
07/28/20 04:55 PM,01/15/21 11:23 AM,,active,5.2.8, da Cunha de Cavalcanti,RJ,Caetano Furquim,01/15/21 11:23 AM,228.12618236153,9,1368.75709416918,6,34,organic_search
02/13/17 04:48 AM,01/03/21 11:23 AM,,paused,4.43.6, Ferreira,MS,Candelaria,01/03/21 11:23 AM,223.973941276092,13,0.0,0,46,organic_search
06/15/18 09:46 AM,01/15/21 11:23 AM,,active,4.17.4, Nogueira do Campo,RO,Araguaia,01/15/21 11:23 AM,181.200663440803,11,1449.60530752642,8,34,organic_search
11/22/18 07:04 AM,01/13/21 11:23 AM,,active,3.9.8, Fogaça,PE,Vila Bandeirantes,01/13/21 11:23 AM,217.00497194581,10,434.00994389162,2,36,crm
01/29/21 12:22 AM,01/07/21 11:23 AM,,paused,3.27.10, Nunes de Novaes,CE,Santa Lúcia,01/07/21 11:23 AM,196.241001436042,9,0.0,0,42,paid_search
07/12/16 09:55 AM,01/08/21 11:23 AM,,active,5.18.14, Duarte do Galho,RR,Vila Nova Gameleira 3ª Seção,01/08/21 11:23 AM,235.245423894362,9,1646.71796726053,7,41,direct
03/02/16 09:20 PM,01/05/21 11:23 AM,,active,3.25.9, Santos dos Dourados,BA,Bonfim,01/05/21 11:23 AM,215.078336795206,13,2365.86170474727,11,44,direct
09/23/17 01:15 PM,01/14/21 11:23 AM,,active,5.24.5, Rodrigues de Minas,SC,Camargos,01/14/21 11:23 AM,181.71202754759,10,726.848110190358,4,35,organic_search
05/11/19 09:33 PM,01/20/21 11:23 AM,,active,4.18.7, Carvalho dos Dourados,MA,Vila São Gabriel Jacui,01/20/21 11:23 AM,238.574757098247,7,2147.17281388422,9,29,direct
03/06/18 06:46 AM,01/11/21 11:23 AM,,active,5.51.9, Porto,MS,Bacurau,01/11/21 11:23 AM,207.405405067743,6,2281.45945574517,11,38,paid_search
01/29/18 08:31 AM,01/18/21 11:23 AM,,active,4.14.6, Castro,PI,Santa Branca,01/18/21 11:23 AM,223.726186273661,8,0.0,0,31,organic_search
01/13/18 05:11 AM,01/15/21 11:23 AM,,active,4.41.3, Farias,MS,Conjunto Bonsucesso,01/15/21 11:23 AM,221.204828854516,15,221.204828854516,1,34,direct
07/18/17 12:07 AM,01/21/21 11:23 AM,,active,4.14.2, Alves,PB,Boa União 1ª Seção,01/21/21 11:23 AM,229.907867384035,11,1379.44720430421,6,28,crm
11/25/20 08:12 AM,12/08/20 06:45 AM,12/08/20 06:45 AM,canceled,4.32.5, Almeida Alegre,SE,São Jorge 2ª Seção,11/27/20 09:42 PM,214.151632326542,15,0.0,0,82,direct
11/22/18 11:29 AM,01/14/21 11:23 AM,,active,4.22.7, Oliveira do Norte,CE,Satelite,01/14/21 11:23 AM,232.246640742931,6,464.493281485861,2,35,paid_search
06/10/20 08:39 PM,01/07/21 11:23 AM,,active,5.29.6, Aragão,CE,Salgado Filho,01/07/21 11:23 AM,249.402800963249,12,1995.22240770599,8,42,organic_search
04/01/16 01:08 PM,01/14/21 11:23 AM,,active,4.37.15, Silva da Serra,RJ,Horto Florestal,01/14/21 11:23 AM,200.291298219379,7,2002.91298219379,10,35,direct
07/04/17 02:10 PM,01/11/21 11:23 AM,,active,3.34.3, Cardoso,DF,Morro Dos Macacos,01/11/21 11:23 AM,251.504702211003,12,1760.53291547702,7,38,direct
09/16/17 10:38 PM,01/13/21 11:23 AM,,active,1.23.10, Barbosa,RJ,Vila Tirol,01/13/21 11:23 AM,219.349241037161,7,1096.7462051858,5,36,direct
02/23/18 08:14 PM,01/21/21 11:23 AM,,active,3.19.5, Nunes,GO,Piraja,01/21/21 11:23 AM,196.556867255792,6,2162.12553981371,11,28,telegram_whatsapp
07/06/18 08:37 PM,01/13/21 11:23 AM,,active,5.17.8, Mendes do Amparo,PR,Europa,01/13/21 11:23 AM,190.200651411661,11,1331.40455988163,7,36,direct
07/13/16 09:27 AM,01/20/21 11:23 AM,,active,3.24.8, Araújo do Campo,RS,Vila São Paulo,01/20/21 11:23 AM,223.729278223315,14,1566.1049475632,7,29,organic_search
09/30/18 09:16 AM,01/11/21 11:23 AM,,active,3.21.9, Monteiro do Norte,PA,Silveira,01/11/21 11:23 AM,157.895500399219,12,631.582001596876,4,38,organic_search
09/07/16 07:43 AM,01/13/21 11:23 AM,,active,4.18.5, Silva de Santos,ES,Vila Jardim Leblon,01/13/21 11:23 AM,220.624313115083,10,1103.12156557541,5,36,organic_search
06/23/20 07:22 AM,12/31/20 11:23 AM,,active,3.31.8, Almeida da Praia,SE,Mala E Cuia,12/31/20 11:23 AM,248.040153260223,3,1736.28107282156,7,49,paid_search
11/23/18 04:41 AM,01/19/21 11:23 AM,,paused,4.4.5, Cardoso,MG,Esplanada,01/19/21 11:23 AM,204.341238051919,7,408.682476103839,2,30,direct
11/04/19 06:08 PM,01/12/21 11:23 AM,,active,3.34.9, Barros da Mata,MS,Estoril,01/12/21 11:23 AM,230.732410675757,5,692.19723202727,3,37,crm
09/14/16 06:21 PM,01/08/21 11:23 AM,,active,4.27.4, Almeida de Goiás,RN,Vila Independencia 3ª Seção,01/08/21 11:23 AM,214.843731314246,9,1074.21865657123,5,41,telegram_whatsapp
08/29/19 06:38 PM,01/11/21 11:23 AM,,active,3.37.6, Teixeira da Prata,PB,Vila Antena,01/11/21 11:23 AM,180.102746072584,7,900.513730362919,5,38,organic_search
03/15/16 06:58 PM,01/11/21 11:23 AM,,active,4.-4.8, Peixoto de Rocha,GO,Vila Dos Anjos,01/11/21 11:23 AM,176.168595133374,5,1937.85454646711,11,38,paid_search
02/05/18 09:17 PM,01/11/21 11:23 AM,,active,2.30.4, Teixeira do Campo,GO,Vila Batik,01/11/21 11:23 AM,239.957106379557,9,0.0,0,38,organic_search
04/17/20 09:41 PM,01/26/21 11:23 AM,,active,4.16.9, Moraes,ES,Vila Vista Alegre,01/26/21 11:23 AM,206.562396767403,11,2065.62396767403,10,23,organic_search
07/28/19 10:15 AM,01/15/21 11:23 AM,,active,3.6.6, Mendes do Sul,PB,Tupi A,01/15/21 11:23 AM,162.715589806429,4,976.293538838575,6,34,direct
03/21/17 06:42 AM,01/14/21 11:23 AM,,paused,2.7.17, Rocha do Amparo,MS,Jardim Atlântico,01/14/21 11:23 AM,176.566054082557,10,1765.66054082557,10,35,telegram_whatsapp
01/28/19 06:03 AM,01/20/21 11:23 AM,,active,6.28.4, Lima,TO,Vitoria,01/20/21 11:23 AM,225.531511048246,6,0.0,0,29,none
07/20/17 02:15 AM,01/18/21 11:23 AM,,active,4.30.13, Lima da Mata,TO,Antonio Ribeiro De Abreu 1ª Seção,01/18/21 11:23 AM,197.706872106861,9,1186.24123264117,6,31,direct
04/02/18 06:03 PM,01/15/21 11:23 AM,,active,2.30.6, da Mata,RO,São José,01/15/21 11:23 AM,212.954806892288,9,2129.54806892288,10,34,direct
08/27/20 08:52 PM,01/12/21 11:23 AM,,paused,3.7.2, Almeida do Galho,PE,São Bento,01/12/21 11:23 AM,215.031626201718,13,1075.15813100859,5,37,direct
12/29/18 10:02 AM,01/08/21 11:23 AM,,paused,4.20.5, Farias do Campo,AL,Marajó,01/08/21 11:23 AM,192.720128265534,8,192.720128265534,1,41,organic_search
03/18/16 08:30 PM,01/10/21 11:23 AM,,active,3.18.9, Freitas do Campo,PE,Nova America,01/10/21 11:23 AM,223.264627837376,9,2232.64627837376,10,39,organic_search
09/26/20 08:06 PM,01/17/21 11:23 AM,,active,3.10.8, Jesus de Melo,PI,Vila Ipiranga,01/17/21 11:23 AM,229.642455022254,6,918.569820089017,4,32,direct
11/13/18 10:46 AM,01/09/21 11:23 AM,,active,3.31.13, Peixoto,TO,Coqueiros,01/09/21 11:23 AM,226.425808691194,13,679.277426073581,3,40,paid_search
10/22/17 08:25 PM,01/28/21 11:23 AM,,active,4.21.6, Porto,PR,Vila Calafate,01/28/21 11:23 AM,220.287048966259,10,660.861146898777,3,21,paid_search
04/07/17 06:19 PM,01/16/21 11:23 AM,,active,3.29.7, Fernandes,RJ,Vila São João Batista,01/16/21 11:23 AM,197.809375731757,1,1978.09375731757,10,33,paid_search
04/25/18 01:07 AM,01/18/21 11:23 AM,,active,3.3.13, Caldeira,PB,Floresta,01/18/21 11:23 AM,263.945032218337,10,2375.50528996504,9,31,paid_search
10/29/16 08:10 PM,04/14/19 11:42 AM,04/14/19 11:42 AM,canceled,2.17.14, Martins,GO,Vila Mantiqueira,09/29/17 07:03 PM,227.09754680884,12,1135.4877340442,5,1237,direct
04/04/19 03:18 AM,01/19/21 11:23 AM,,paused,2.36.7, Cardoso,AM,Vila De Sá,01/19/21 11:23 AM,207.658264223963,10,2076.58264223963,10,30,organic_search
08/22/16 05:32 PM,01/07/21 11:23 AM,,active,3.13.4, Nunes de Caldeira,MT,Lajedo,01/07/21 11:23 AM,222.146428179363,8,1110.73214089682,5,42,crm
08/13/17 04:48 PM,01/05/21 11:23 AM,,active,2.34.4, Dias de Costela,AM,Vila Piratininga,01/05/21 11:23 AM,233.675888838525,12,1402.05533303115,6,44,crm
03/13/20 07:20 PM,01/17/21 11:23 AM,,active,5.29.10, Araújo,PA,Vila Paquetá,01/17/21 11:23 AM,246.805727823035,9,2714.86300605339,11,32,paid_search
09/30/19 04:49 AM,01/12/21 11:23 AM,,active,3.29.6, Pereira de Correia,MA,Carlos Prates,01/12/21 11:23 AM,193.807231806901,12,775.228927227603,4,37,telegram_whatsapp
11/08/20 09:10 PM,01/13/21 11:23 AM,,active,2.12.6, Fernandes do Amparo,ES,Vila Independencia 3ª Seção,01/13/21 11:23 AM,224.712341748864,9,674.137025246591,3,36,direct
11/10/16 04:51 PM,01/12/21 11:23 AM,,paused,3.22.11, Peixoto de Ramos,MG,Goiania,01/12/21 11:23 AM,242.004765687526,12,726.014297062578,3,37,organic_search
01/04/17 10:30 PM,01/18/21 11:23 AM,,active,3.18.9, Campos Grande,AL,Nova Cachoeirinha,01/18/21 11:23 AM,254.316003193908,12,254.316003193908,1,31,telegram_whatsapp
04/25/19 10:25 AM,01/12/21 11:23 AM,,active,3.28.8, Peixoto do Oeste,PR,Boa Viagem,01/12/21 11:23 AM,210.074042206003,5,1890.66637985402,9,37,organic_search
05/11/17 10:13 PM,01/16/21 11:23 AM,,active,2.5.8, Alves do Amparo,PR,Vila Pinho,01/16/21 11:23 AM,192.725422784593,7,1734.52880506134,9,33,crm
10/02/19 06:13 PM,01/10/21 11:23 AM,,active,2.13.6, Nascimento da Prata,SC,Conjunto Califórnia Ii,01/10/21 11:23 AM,208.643677710665,10,834.574710842662,4,39,organic_search
04/18/17 04:26 AM,01/23/21 11:23 AM,,active,4.10.11, Moreira da Serra,MS,Nova Vista,01/23/21 11:23 AM,207.085766221522,8,1863.7718959937,9,26,organic_search
04/21/20 08:00 AM,01/13/21 11:23 AM,,active,4.21.7, Ribeiro de Minas,RR,Vila São João Batista,01/13/21 11:23 AM,210.714438172447,8,1896.42994355203,9,36,organic_search
10/19/17 08:33 AM,01/19/21 11:23 AM,,paused,5.29.12, Castro Grande,GO,Vila Maria,01/19/21 11:23 AM,206.838577060271,4,620.515731180813,3,30,crm
12/04/16 01:30 PM,01/19/21 11:23 AM,,paused,5.17.4, da Cunha,RS,Vila Nova Dos Milionarios,01/19/21 11:23 AM,220.601488322871,11,441.202976645742,2,30,crm
06/06/18 02:05 PM,01/19/21 11:23 AM,,active,4.30.3, Gomes,CE,Graça,01/19/21 11:23 AM,213.522638704536,8,1708.18110963629,8,30,none
02/22/17 12:10 AM,01/18/21 11:23 AM,,active,2.19.0, Nascimento,RO,Jaqueline,01/18/21 11:23 AM,270.325253547342,12,2973.57778902076,11,31,direct
01/17/17 11:18 PM,01/12/21 11:23 AM,,active,3.22.1, Cunha,BA,Boa Esperança,01/12/21 11:23 AM,187.730275912775,8,187.730275912775,1,37,direct
03/27/19 03:50 PM,01/19/21 11:23 AM,,paused,3.31.7, Cavalcanti da Prata,MA,Andiroba,01/19/21 11:23 AM,248.824242005611,13,2488.24242005611,10,30,paid_search
08/29/18 03:09 AM,02/10/20 11:45 AM,02/10/20 11:45 AM,canceled,3.9.12, Barros,PA,Vila Primeiro De Maio,01/30/20 03:55 PM,214.666472849666,3,1073.33236424833,5,384,direct
08/12/19 07:40 AM,01/16/21 11:23 AM,,active,3.31.7, Moura,PI,Vila Esplanada,01/16/21 11:23 AM,256.397751670798,8,1538.38651002479,6,33,organic_search
01/25/19 04:28 PM,01/16/21 11:23 AM,,active,1.31.6, Almeida do Galho,AM,Itapoa,01/16/21 11:23 AM,245.681072048861,6,0.0,0,33,paid_search
05/03/16 04:52 AM,01/10/21 11:23 AM,,paused,6.35.9, Pereira da Serra,RN,São Bento,01/10/21 11:23 AM,229.847753206197,8,2068.62977885577,9,39,organic_search
09/21/18 08:20 PM,01/14/21 11:23 AM,,paused,2.27.7, da Rocha,RS,Pirineus,01/14/21 11:23 AM,215.517049962535,7,862.06819985014,4,35,organic_search
10/17/19 06:40 PM,05/22/20 12:24 AM,05/22/20 12:24 AM,canceled,3.8.8, Cavalcanti do Amparo,RS,Penha,03/30/20 03:50 PM,244.260453349547,9,1709.82317344683,7,324,telegram_whatsapp
01/19/18 04:56 PM,01/06/21 11:23 AM,,active,4.58.10, Rocha,RS,Custodinha,01/06/21 11:23 AM,251.071832039384,6,0.0,0,43,telegram_whatsapp
08/03/20 03:07 PM,01/12/21 11:23 AM,,active,2.13.6, Aragão de Gonçalves,BA,Vila Nova Gameleira 3ª Seção,01/12/21 11:23 AM,228.914346108398,11,1373.48607665039,6,37,crm
07/03/18 04:39 AM,01/17/21 11:23 AM,,active,3.11.9, Cardoso Paulista,MA,Liberdade,01/17/21 11:23 AM,205.456599153803,6,1438.19619407662,7,32,none
09/21/19 01:45 PM,01/11/21 11:23 AM,,active,2.21.8, Jesus,GO,Vila Nova Gameleira 1ª Seção,01/11/21 11:23 AM,219.941469401915,12,879.76587760766,4,38,none
